COUNTY,RF_ssp126,RF_ssp245,RF_ssp585,XGB_ssp126,XGB_ssp245,XGB_ssp585
Aitkin,2,2,2,2,0,2
Anoka,2,2,2,0,0,2
Becker,2,2,2,2,2,2
Beltrami,2,2,2,2,0,0
Benton,2,2,2,2,0,2
Big Stone,2,2,2,2,0,2
Blue Earth,2,2,2,2,0,0
Brown,2,2,2,0,0,2
Carlton,2,2,2,1,0,0
Carver,2,2,2,0,0,0
Cass,2,2,2,2,0,2
Chippewa,2,2,2,2,2,2
Chisago,2,2,2,0,0,0
Clay,2,2,2,2,2,0
Clearwater,2,2,2,2,2,2
Cook,2,2,2,2,2,2
Cottonwood,2,2,2,0,0,2
Crow Wing,2,2,2,2,0,2
Dakota,2,2,2,0,0,0
Dodge,2,2,2,2,2,2
Douglas,2,2,2,2,2,2
Faribault,2,2,2,2,0,0
Fillmore,2,2,2,0,0,0
Freeborn,2,2,2,0,0,0
Goodhue,2,2,2,2,0,0
Hennepin,2,2,2,2,0,0
Houston,2,2,2,0,0,0
Hubbard,2,2,2,2,2,2
Isanti,2,0,2,2,0,2
Itasca,2,2,2,1,0,2
Jackson,2,0,2,0,0,2
Kanabec,2,2,2,2,0,2
Kandiyohi,2,2,2,2,2,2
Kittson,2,2,2,2,2,2
Koochiching,2,2,2,2,2,2
Lac qui Parle,2,2,2,2,2,2
Lake,2,2,2,2,2,2
Lake of the Woods,2,2,2,2,2,2
Le Sueur,2,2,2,2,2,2
Lincoln,2,2,2,2,2,2
Lyon,2,2,2,0,2,2
Mahnomen,2,2,2,2,0,2
Marshall,2,2,2,2,0,0
Martin,2,2,2,0,0,0
McLeod,2,2,2,0,0,2
Meeker,2,2,2,2,2,2
Mille Lacs,2,2,2,2,2,2
Morrison,2,2,2,2,2,2
Mower,2,2,2,0,0,0
Murray,2,2,2,0,0,2
Nicollet,2,2,2,0,0,2
Nobles,2,2,2,0,0,0
Norman,2,2,2,2,0,0
Olmsted,2,2,2,0,0,0
Otter Tail,2,2,2,2,2,2
Pennington,1,1,2,1,1,2
Pine,2,2,2,1,0,0
Pipestone,2,2,2,0,0,2
Polk,2,2,2,2,0,0
Pope,2,2,2,2,2,2
Ramsey,2,2,2,2,0,0
Red Lake,2,2,2,2,2,0
Redwood,2,2,2,2,2,2
Renville,2,2,2,2,2,2
Rice,2,2,2,2,0,2
Rock,2,0,2,2,0,0
Roseau,2,2,2,2,2,0
Scott,2,2,2,0,0,0
Sherburne,2,2,2,2,0,2
Sibley,2,2,2,0,0,2
St. Louis,2,2,2,2,0,2
Stearns,2,2,2,2,2,2
Steele,2,2,2,0,0,0
Stevens,2,2,2,2,2,2
Swift,2,2,2,2,2,2
Todd,2,2,2,2,2,2
Traverse,2,2,2,2,0,2
Wabasha,2,2,2,0,0,0
Wadena,2,2,2,2,2,2
Waseca,2,2,2,0,0,0
Washington,2,2,2,0,0,0
Watonwan,2,2,2,0,2,2
Wilkin,2,2,2,2,2,2
Winona,2,2,2,0,0,0
Wright,2,2,2,2,2,2
Yellow Medicine,2,2,2,0,2,2
