Year,State,Total Population (in thousands),Anaplasmosis,Ehrlichiosis,Undetermined E/A,Babesiosis,Lyme disease
1996,MN,4658,,,,,251
1997,MN,4686,,,,,256
1998,MN,4725,,,,,261
1999,MN,4776,,0,,,283
2000,MN,4776,,83,,,465
2001,MN,4919,,96,,,461
2002,MN,4919,,154,,,867
2003,MN,5025,,79,,,474
2004,MN,5059,,149,,,1023
2005,MN,5101,,211,,,917
2006,MN,5133,,196,,,914
2007,MN,5167,,364,,,1238
2008,MN,5198,278,15,43,,1282
2009,MN,5220,317,8,38,,1543
2010,MN,5266,720,12,11,,1960
2011,MN,5290,770,8,10,73,2124
2012,MN,5347,503,9,17,40,1515
2013,MN,5380,630,7,42,64,2340
2014,MN,5457,448,6,17,49,1416
2015,MN,5490,613,4,21,45,1805
2016,MN,5520,732,6,35,50,2126
2018,MN,5611,496,11,40,49,1541
2019,MN,5657,405,16,41,54,1528
2020,MN,5657,,,,,
2021,MN,5657,587,10,12,63,1902
2022,MN,5717,540,13,14,61,2685
2023,MN,5753,508,8,14,73,2938
