COUNTY,RF_2024_TEST,XGB_2024_TEST
Aitkin,2,2
Anoka,2,2
Becker,2,2
Beltrami,0,1
Benton,2,0
Big Stone,2,2
Blue Earth,2,0
Carlton,2,2
Carver,2,2
Cass,2,2
Chippewa,2,2
Chisago,2,2
Clay,2,2
Clearwater,2,2
Cook,2,2
Cottonwood,2,2
Crow Wing,2,2
Dakota,2,2
Dodge,2,2
Douglas,2,2
Faribault,2,2
Fillmore,0,2
Freeborn,0,0
Goodhue,0,2
Hennepin,2,2
Houston,0,0
Hubbard,2,2
Isanti,0,0
Itasca,0,1
Jackson,2,0
Kanabec,2,2
Kandiyohi,2,2
Kittson,2,2
Koochiching,2,1
Lac qui Parle,2,2
Lake,2,2
Lake of the Woods,2,2
Lyon,2,2
Mahnomen,2,2
Marshall,2,2
Martin,2,2
McLeod,2,0
Meeker,2,2
Mille Lacs,2,2
Mower,0,0
Murray,2,2
Nicollet,2,2
Nobles,2,0
Norman,2,2
Olmsted,2,2
Otter Tail,2,2
Pine,2,2
Pipestone,2,2
Polk,2,2
Pope,2,2
Ramsey,2,0
Red Lake,2,2
Redwood,2,2
Rice,2,0
Roseau,2,2
Scott,2,2
Sherburne,2,2
Sibley,2,0
St. Louis,2,2
Stearns,2,2
Steele,2,2
Stevens,2,2
Swift,2,2
Todd,2,2
Traverse,2,2
Wabasha,2,2
Wadena,2,2
Waseca,0,0
Washington,2,0
Watonwan,2,2
Wilkin,2,2
Winona,2,2
Wright,2,0
Yellow Medicine,2,2
