COUNTY,VALUE_1996,STATUS_1996,YEAR_1996,VALUE_2015,STATUS_2015,YEAR_2015,STATUS_2024,VALUE_2024,YEAR_2024
Aitkin,1,Reported,1996,2,Established,2015,Established,2,2024
Anoka,2,Established,1996,2,Established,2015,Established,2,2024
Becker,0,No records,1996,2,Established,2015,Established,2,2024
Beltrami,1,Reported,1996,2,Established,2015,Established,2,2024
Benton,2,Established,1996,2,Established,2015,Established,2,2024
Big Stone,0,No records,1996,0,No records,2015,Established,2,2024
Blue Earth,0,No records,1996,0,No records,2015,Established,2,2024
Brown,0,No records,1996,1,Reported,2015,Established,2,2024
Carlton,1,Reported,1996,2,Established,2015,Established,2,2024
Carver,2,Established,1996,2,Established,2015,Established,2,2024
Cass,0,No records,1996,2,Established,2015,Established,2,2024
Chippewa,0,No records,1996,0,No records,2015,Established,2,2024
Chisago,2,Established,1996,2,Established,2015,Established,2,2024
Clay,0,No records,1996,0,No records,2015,Established,2,2024
Clearwater,1,Reported,1996,2,Established,2015,Established,2,2024
Cook,0,No records,1996,2,Established,2015,Established,2,2024
Cottonwood,0,No records,1996,0,No records,2015,No records,0,2024
Crow Wing,1,Reported,1996,2,Established,2015,Established,2,2024
Dakota,2,Established,1996,2,Established,2015,Established,2,2024
Dodge,0,No records,1996,0,No records,2015,No records,0,2024
Douglas,1,Reported,1996,2,Established,2015,Established,2,2024
Faribault,0,No records,1996,0,No records,2015,Reported,1,2024
Fillmore,1,Reported,1996,2,Established,2015,Established,2,2024
Freeborn,0,No records,1996,0,No records,2015,No records,0,2024
Goodhue,2,Established,1996,2,Established,2015,Established,2,2024
Grant,0,No records,1996,0,No records,2015,Established,2,2024
Hennepin,2,Established,1996,2,Established,2015,Established,2,2024
Houston,1,Reported,1996,2,Established,2015,Established,2,2024
Hubbard,0,No records,1996,2,Established,2015,Established,2,2024
Isanti,1,Reported,1996,2,Established,2015,Established,2,2024
Itasca,0,No records,1996,2,Established,2015,Established,2,2024
Jackson,0,No records,1996,0,No records,2015,No records,0,2024
Kanabec,1,Reported,1996,2,Established,2015,Established,2,2024
Kandiyohi,0,No records,1996,2,Established,2015,Established,2,2024
Kittson,0,No records,1996,0,No records,2015,Established,2,2024
Koochiching,0,No records,1996,2,Established,2015,Established,2,2024
Lac qui Parle,0,No records,1996,0,No records,2015,No records,0,2024
Lake,0,No records,1996,2,Established,2015,Established,2,2024
Lake of the Woods,1,Reported,1996,2,Established,2015,Established,2,2024
Le Sueur,2,Established,1996,0,No records,2015,Established,2,2024
Lincoln,0,No records,1996,0,No records,2015,No records,0,2024
Lyon,0,No records,1996,0,No records,2015,Established,2,2024
Mahnomen,0,No records,1996,2,Established,2015,Established,2,2024
Marshall,1,Reported,1996,0,No records,2015,Established,2,2024
Martin,0,No records,1996,0,No records,2015,No records,0,2024
McLeod,0,No records,1996,0,No records,2015,Reported,1,2024
Meeker,0,No records,1996,0,No records,2015,Established,2,2024
Mille Lacs,1,Reported,1996,2,Established,2015,Established,2,2024
Morrison,2,Established,1996,2,Established,2015,Established,2,2024
Mower,1,Reported,1996,0,No records,2015,No records,0,2024
Murray,0,No records,1996,0,No records,2015,No records,0,2024
Nicollet,0,No records,1996,1,Reported,2015,Established,2,2024
Nobles,0,No records,1996,0,No records,2015,No records,0,2024
Norman,0,No records,1996,0,No records,2015,Established,2,2024
Olmsted,1,Reported,1996,2,Established,2015,Established,2,2024
Otter Tail,0,No records,1996,2,Established,2015,Established,2,2024
Pennington,0,No records,1996,0,No records,2015,Established,2,2024
Pine,2,Established,1996,2,Established,2015,Established,2,2024
Pipestone,0,No records,1996,0,No records,2015,No records,0,2024
Polk,0,No records,1996,2,Established,2015,Established,2,2024
Pope,1,Reported,1996,2,Established,2015,Established,2,2024
Ramsey,2,Established,1996,0,No records,2015,Established,2,2024
Red Lake,0,No records,1996,0,No records,2015,Established,2,2024
Redwood,0,No records,1996,0,No records,2015,Established,2,2024
Renville,0,No records,1996,0,No records,2015,Reported,1,2024
Rice,2,Established,1996,1,Reported,2015,Established,2,2024
Rock,0,No records,1996,0,No records,2015,Reported,1,2024
Roseau,1,Reported,1996,2,Established,2015,Established,2,2024
Scott,2,Established,1996,2,Established,2015,Established,2,2024
Sherburne,1,Reported,1996,2,Established,2015,Established,2,2024
Sibley,2,Established,1996,2,Established,2015,Established,2,2024
St. Louis,0,No records,1996,2,Established,2015,Established,2,2024
Stearns,2,Established,1996,2,Established,2015,Established,2,2024
Steele,0,No records,1996,0,No records,2015,Reported,1,2024
Stevens,0,No records,1996,0,No records,2015,Established,2,2024
Swift,0,No records,1996,0,No records,2015,No records,0,2024
Todd,1,Reported,1996,2,Established,2015,Established,2,2024
Traverse,0,No records,1996,0,No records,2015,No records,0,2024
Wabasha,1,Reported,1996,2,Established,2015,Established,2,2024
Wadena,0,No records,1996,2,Established,2015,Established,2,2024
Waseca,0,No records,1996,0,No records,2015,No records,0,2024
Washington,2,Established,1996,0,No records,2015,Established,2,2024
Watonwan,0,No records,1996,0,No records,2015,No records,0,2024
Wilkin,0,No records,1996,0,No records,2015,No records,0,2024
Winona,1,Reported,1996,2,Established,2015,Established,2,2024
Wright,0,No records,1996,2,Established,2015,Established,2,2024
Yellow Medicine,0,No records,1996,0,No records,2015,Established,2,2024
